trip_id,driver_id,customer_id,city,pickup_zone_id,dropoff_zone_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,haversine_km,driver_assigned_at,accepted_at,driver_arrived_at,otp_verified_at,loading_ended_at,trip_started_at,trip_completed_at,cancelled_at,cancellation_at_stage,requested_at,declared_distance_km,gps_tracked_distance_km,distance_vs_haversine,actual_trip_duration_mins,loading_time_mins,waiting_time_mins,gps_ping_count,gps_accuracy_avg_m,avg_speed_kmh,max_speed_kmh,mock_location_flag,gps_provider,vehicle_type,goods_category,goods_weight_kg,floor_pickup,floor_dropoff,base_fare_inr,loading_charge_inr,waiting_charge_inr,toll_charge_inr,surge_multiplier,fare_inr,payment_mode,trip_status,otp_verified,otp_attempt_count,pod_photo_captured,pod_location_match,day_of_week,hour_of_day,is_night,is_peak_hour,is_weekend,is_late_month,zone_demand_at_time,data_split,driver_rating_given,customer_rating_given,customer_complaint_flag,customer_complaint_type,is_fraud,fraud_type,fraud_recoverable_inr,recoverable_amount_inr
58d6db1e-b54b-400c-ad7e-5906707fe73f,c1bdbc52-4979-4ae5-b08d-0b31c0baa1b8,cca5f7d3-7185-40b8-8e0e-f9252fcabdd2,bangalore,blr_koramangala,blr_rajajinagar,12.932288,77.612203,12.984355,77.552254,8.702,2026-02-23T00:37:06,2026-02-23T00:37:46,,,,,,2026-02-23T00:42:05,pre_arrive,2026-02-23 00:36:29,5.255,10.139,0.604,13.11,0.0,0.0,40,4.1,0.0,0.0,False,gps,two_wheeler,documents,1.3,1,0,72.04,0.0,0.0,0.0,1.0,91.68,upi,cancelled_by_driver,False,0,False,False,0,0,True,False,False,False,0.39,historical,,,False,,False,,0.0,0.0
b6a3a495-28e5-477c-ad3c-8f241ffa0884,c26ce31a-d984-415f-842c-c91226732334,e7cfd963-dd81-4ea3-ace0-708ee215a354,bangalore,blr_hsr,blr_indiranagar,12.903531,77.639425,12.974763,77.629842,7.988,2026-02-23T00:41:58,2026-02-23T00:42:19,2026-02-23T00:49:11.713601,2026-02-23T00:53:04.923418,,2026-02-23T00:53:04.923418,2026-02-23T01:05:43.842953,,,2026-02-23 00:40:41,4.32,10.29,0.541,12.65,0.0,1.7,38,13.1,20.5,29.3,False,gps,two_wheeler,documents,1.6,0,0,64.56,0.0,0.0,0.0,1.0,79.07,upi,completed,True,1,False,False,0,0,True,False,False,False,0.37,historical,4.0,5.0,False,,False,,0.0,0.0
7c0cff61-1214-44a1-a5e4-a4d84e626154,fd6b5db4-e0f2-4df9-b28c-a193dd9c4867,b947fdff-9755-48e4-942e-2aad9816f1e1,bangalore,blr_jayanagar,blr_hebbal,12.935247,77.574894,13.02706,77.606534,10.769,2026-02-23T01:29:05,2026-02-23T01:29:42,2026-02-23T01:47:12.974147,2026-02-23T01:52:01.108100,,2026-02-23T01:52:01.108100,2026-02-23T02:11:46.912505,,,2026-02-23 01:28:23,8.332,14.473,0.774,19.76,0.0,4.8,67,12.3,25.3,36.9,False,gps,two_wheeler,documents,2.6,1,2,96.65,0.0,0.0,0.0,1.0,121.49,cash,completed,True,1,False,False,0,1,True,False,False,False,0.35,historical,3.0,5.0,False,,False,,0.0,0.0
d6a1b0c8-de08-487e-b509-7b411e954597,25cad4ba-d804-4706-b556-f3ab3afafc0a,91f341a0-26ae-458a-8fcd-41037b7558b7,bangalore,blr_rajajinagar,blr_marathahalli,13.000777,77.561146,12.956897,77.701898,16.013,2026-02-23T01:44:46,2026-02-23T01:44:59,2026-02-23T01:57:52.680172,2026-02-23T02:00:19.368038,,2026-02-23T02:00:19.368038,2026-02-23T02:13:00.616615,,,2026-02-23 01:41:48,5.075,20.008,0.317,12.69,0.0,1.3,33,5.2,24.0,35.4,False,gps,two_wheeler,perishable,5.4,0,0,70.6,0.0,0.0,0.0,1.0,87.01,cash,completed,True,1,False,False,0,1,True,False,False,False,0.344,historical,5.0,5.0,False,,False,,0.0,0.0
734a6b08-3c94-4d0f-8526-20f094c141a2,7844d7a6-dac7-4abd-b9b9-552b0bcdb78f,6ee7753c-504a-4c9b-ad7f-15fdc3436f0c,bangalore,blr_bannerghatta,blr_whitefield,12.895897,77.576253,12.969835,77.75852,21.396,2026-02-23T02:36:31,2026-02-23T02:36:46,2026-02-23T02:42:22.250926,2026-02-23T02:44:49.796634,,2026-02-23T02:44:49.796634,2026-02-23T03:03:52.859285,,,2026-02-23 02:34:50,7.997,25.219,0.374,19.05,0.0,4.9,62,17.1,25.2,45.3,False,gps,two_wheeler,perishable,8.2,0,0,93.97,0.0,0.0,0.0,1.0,116.14,cash,completed,True,1,False,False,0,2,True,False,False,False,0.35,historical,,,False,,False,,0.0,0.0
072b52d8-059a-43d2-923d-55000410c6d9,f56d59ba-6f99-4844-ac32-d971d94c25e8,4e7a3182-3946-44b0-b67c-572f5e25b45c,bangalore,blr_koramangala,blr_yeshwanthpur,12.931535,77.614861,13.008221,77.555658,10.671,2026-02-23T05:40:52,2026-02-23T05:41:01,2026-02-23T05:47:20.163515,2026-02-23T05:48:28.104598,,2026-02-23T05:48:28.104598,2026-02-23T06:02:15.045496,,,2026-02-23 05:40:13,4.999,14.751,0.468,13.78,0.0,3.4,43,6.8,21.8,34.1,False,gps,two_wheeler,perishable,5.7,0,1,69.99,0.0,0.0,0.0,1.179,79.61,cash,completed,True,1,False,False,0,5,False,False,False,False,0.975,historical,5.0,4.0,False,,False,,0.0,0.0
d41b1b27-3682-4317-859f-910aa1d9b28c,9243ea44-dd7d-47f5-84e6-fae8ea7845ef,dfb61782-2b04-4a89-9829-4f3684bbf9ea,bangalore,blr_electronic_city,blr_yeshwanthpur,12.848138,77.668427,13.025706,77.565042,22.702,2026-02-23T05:54:38,2026-02-23T05:55:18,2026-02-23T06:04:32.434229,2026-02-23T06:09:45.404872,,2026-02-23T06:09:45.404872,2026-02-23T07:01:58.121865,,,2026-02-23 05:53:04,16.021,32.666,0.706,52.21,0.0,5.2,144,16.0,18.4,23.0,False,gps,three_wheeler,boxes_mixed,43.7,0,0,272.25,0.0,0.0,0.0,1.0,264.06,upi,completed,True,1,False,False,0,5,False,False,False,False,0.37,historical,4.0,5.0,False,,False,,0.0,0.0
e29cef56-a1b1-4ef7-8e92-07d68602e2c0,0120aadd-2084-4a6f-92f3-8e74654a2d29,61e0e1d0-c587-4f0c-b650-e676fc554c61,bangalore,blr_hsr,blr_indiranagar,12.903317,77.643156,12.960102,77.635358,6.371,2026-02-23T06:03:59,2026-02-23T06:04:54,2026-02-23T06:30:26.212028,2026-02-23T06:43:47.980377,2026-02-23T07:15:35.980377,2026-02-23T07:15:35.980377,2026-02-23T09:19:52.223535,,,2026-02-23 06:01:24,20.394,8.296,3.201,124.27,31.8,26.4,420,17.9,9.8,14.8,False,gps,truck_14ft,raw_material,872.9,2,0,1109.84,190.8,79.25,0.0,1.0,1362.45,upi,completed,True,1,False,False,0,6,False,False,False,False,0.925,historical,2.0,5.0,False,,False,,0.0,0.0
be41b2d4-69c3-4d8d-b2fb-96095634ffce,b37b2f87-9cf9-4d8a-bc49-cff7e1c16af7,7f823374-6268-4593-8926-987842671850,bangalore,blr_hebbal,blr_hebbal,13.042705,77.599712,13.050225,77.592541,1.141,2026-02-23T06:11:21,2026-02-23T06:11:37,2026-02-23T06:30:59.433552,2026-02-23T06:37:51.004602,2026-02-23T07:06:45.004602,2026-02-23T07:06:45.004602,2026-02-23T11:39:38.861773,,,2026-02-23 06:10:36,46.125,1.361,40.416,272.9,28.9,6.8,656,15.2,10.1,17.2,False,gps,truck_14ft,raw_material,334.6,0,0,1753.13,173.4,20.3,42.88,1.184,2360.12,upi,completed,True,1,True,True,0,6,False,False,False,False,0.85,historical,5.0,5.0,False,,False,,0.0,0.0
45fd2888-209b-4fd9-bdcd-919a671587a0,c61411ed-5f33-429a-bda8-0d1db81aaad9,4edf9814-de94-4b27-a38c-887ac0cda1a2,bangalore,blr_bannerghatta,blr_indiranagar,12.905441,77.596234,12.974296,77.649188,9.568,2026-02-23T06:39:57,2026-02-23T06:40:26,2026-02-23T07:02:14.894989,2026-02-23T07:04:34.309404,,2026-02-23T07:04:34.309404,2026-02-23T07:21:59.510984,,,2026-02-23 06:38:27,4.167,11.14,0.436,17.42,0.0,5.8,59,9.3,14.4,17.9,False,gps,three_wheeler,boxes_mixed,42.0,0,0,130.0,0.0,0.0,0.0,1.046,132.72,upi,completed,True,1,False,False,0,6,False,False,False,False,0.875,historical,3.0,5.0,False,,False,,0.0,0.0
