trip_id,driver_id,customer_id,city,pickup_zone_id,dropoff_zone_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,haversine_km,driver_assigned_at,accepted_at,driver_arrived_at,otp_verified_at,loading_ended_at,trip_started_at,trip_completed_at,cancelled_at,cancellation_at_stage,requested_at,declared_distance_km,gps_tracked_distance_km,distance_vs_haversine,actual_trip_duration_mins,loading_time_mins,waiting_time_mins,gps_ping_count,gps_accuracy_avg_m,avg_speed_kmh,max_speed_kmh,mock_location_flag,gps_provider,vehicle_type,goods_category,goods_weight_kg,floor_pickup,floor_dropoff,base_fare_inr,loading_charge_inr,waiting_charge_inr,toll_charge_inr,surge_multiplier,fare_inr,payment_mode,trip_status,otp_verified,otp_attempt_count,pod_photo_captured,pod_location_match,day_of_week,hour_of_day,is_night,is_peak_hour,is_weekend,is_late_month,zone_demand_at_time,data_split,driver_rating_given,customer_rating_given,customer_complaint_flag,customer_complaint_type,is_fraud,fraud_type,fraud_recoverable_inr
c0550dcf-ce06-4cfb-9ced-b975466e264f,9907cad1-f91a-4234-a37d-241d3e47bfed,5a2ccab0-6284-4784-ad3a-c8dd320ddaa3,bangalore,blr_bannerghatta,blr_indiranagar,12.894296,77.587185,12.977628,77.646033,11.249,2026-02-23T00:37:05,2026-02-23T00:37:45,2026-02-23T00:42:04.961393,2026-02-23T00:45:19.142732,,2026-02-23T00:45:19.142732,2026-02-23T01:05:39.047898,,,2026-02-23 00:35:49,8.522,16.1,0.758,20.33,0.0,3.2,53,13.0,25.1,37.6,False,gps,two_wheeler,documents,1.3,2,0,98.18,0.0,0.0,0.0,1.0,118.34,upi,completed,True,1,False,False,0,0,True,False,False,False,0.35,historical,4.0,2.0,False,,False,,0.0
414ebc40-2c53-443e-bb50-85a36b98317a,92700f6f-39a1-4db3-abb0-fab1ea7114d7,15f78505-8f15-4242-b53d-fc8464a7a733,bangalore,blr_rajajinagar,blr_hsr,12.995879,77.548627,12.897813,77.633784,14.285,2026-02-23T05:06:17,2026-02-23T05:06:25,2026-02-23T05:25:35.040872,2026-02-23T05:32:42.292802,,2026-02-23T05:32:42.292802,2026-02-23T05:50:30.609957,,,2026-02-23 05:05:13,5.124,18.707,0.359,17.81,0.0,4.8,60,10.3,17.3,26.6,False,gps,three_wheeler,boxes_mixed,21.7,3,0,141.49,0.0,0.0,0.0,1.088,159.84,upi,completed,True,1,False,False,0,5,False,False,False,False,0.86,historical,5.0,5.0,False,,False,,0.0
0f2adf9e-6fe1-4085-bc53-38ce089ed6fb,75b431de-24b6-4b09-9abd-5ddd5d521903,c211143a-95d2-4e07-b133-c91f5eecd0dc,bangalore,blr_koramangala,blr_bannerghatta,12.921692,77.61836,12.886757,77.583767,5.399,2026-02-23T05:52:00,2026-02-23T05:52:19,2026-02-23T06:04:01.218476,,,,,2026-02-23T06:12:29.218476,post_arrive,2026-02-23 05:50:51,8.044,7.479,1.49,22.01,0.0,0.0,65,7.1,0.0,0.0,False,gps,two_wheeler,perishable,8.2,3,0,94.35,0.0,0.0,0.0,1.167,106.29,upi,cancelled_by_driver,False,0,False,False,0,5,False,False,False,False,0.975,historical,,,False,,False,,0.0
19a0660d-3873-4d0c-87e2-be815b39cb78,5d63148e-89d3-42a5-8f46-9a0517c78a6d,4c1bba26-6472-4ee9-892f-46e6bbb05069,bangalore,blr_rajajinagar,blr_hebbal,12.981284,77.551061,13.043026,77.597545,8.514,2026-02-23T06:05:51,2026-02-23T06:06:43,2026-02-23T06:20:52.129875,2026-02-23T06:53:54.273948,2026-02-23T07:11:36.273948,2026-02-23T07:11:36.273948,2026-02-23T10:34:44.800861,,,2026-02-23 06:03:32,35.058,9.995,4.117,203.14,17.7,23.3,672,11.1,10.4,17.5,False,gps,truck_17ft,raw_material,426.3,0,0,1951.73,141.6,93.03,51.83,1.0,2231.89,upi,completed,True,1,False,False,0,6,False,False,False,False,0.86,historical,5.0,3.0,False,,False,,0.0
b61def1c-e401-43b1-99b7-6996fc9b103c,2d4b272c-07ed-45be-97bd-96cbd3a0e1ab,4e823013-7bad-4585-9fa2-cccd7c1fb66a,bangalore,blr_yeshwanthpur,blr_jayanagar,13.018621,77.569775,12.931747,77.575892,9.683,2026-02-23T06:59:30,2026-02-23T06:59:59,2026-02-23T07:15:23.535890,2026-02-23T07:16:00.456476,,2026-02-23T07:16:00.456476,2026-02-23T07:33:06.595367,,,2026-02-23 06:57:08,5.988,11.572,0.618,17.1,0.0,2.8,41,14.1,21.0,37.2,False,gps,two_wheeler,documents,3.5,0,0,77.9,0.0,0.0,0.0,1.0,79.54,cash,completed,True,1,False,False,0,6,False,False,False,False,0.36,historical,5.0,5.0,False,,False,,0.0
135e850d-a94c-4c3d-80a7-ba8b5e464ac3,abdfc155-da2b-4b79-b06a-4585aa718949,db1dbdef-8fb9-4486-b43e-748fa5168380,bangalore,blr_bannerghatta,blr_electronic_city,12.896958,77.615842,12.855982,77.651668,5.987,2026-02-23T07:24:03,2026-02-23T07:24:49,2026-02-23T07:35:02.594170,2026-02-23T07:37:35.772305,,2026-02-23T07:37:35.772305,2026-02-23T07:50:30.987343,,,2026-02-23 07:22:54,3.384,8.467,0.565,12.92,0.0,1.5,41,16.7,15.7,27.3,False,gps,two_wheeler,perishable,13.0,5,0,57.07,0.0,0.0,0.0,1.0,57.15,upi,completed,True,1,False,False,0,7,False,False,False,False,0.875,historical,4.0,5.0,False,,False,,0.0
7e4f37cb-0ae4-4b35-b000-4d7b099da3b3,8f030c7e-1b13-4afa-bcf9-54bdc243322c,1ec7e84d-65b4-4f97-b993-02ffe76eb718,bangalore,blr_hebbal,blr_jayanagar,13.018642,77.599939,12.922835,77.592913,10.68,2026-02-23T07:24:11,2026-02-23T07:24:59,2026-02-23T07:36:40.520696,2026-02-23T08:03:33.916361,2026-02-23T08:51:57.916361,2026-02-23T08:51:57.916361,2026-02-23T11:45:15.759018,,,2026-02-23 07:23:19,19.438,15.107,1.82,173.3,48.4,13.0,526,8.0,6.7,9.3,False,gps,truck_17ft,furniture,472.8,1,2,1483.13,387.2,51.92,1.37,1.181,2111.83,upi,completed,True,1,True,True,0,7,False,False,False,False,0.85,historical,3.0,5.0,False,,False,,0.0
b6c41509-0fda-4707-a615-dbc5ab4134f3,8bb62103-9e6a-41ed-9794-9d3c4c2c89a1,f6e1180e-f2e1-4d8d-8fcb-65518f41041e,bangalore,blr_whitefield,blr_jayanagar,12.96582,77.734175,12.939753,77.572537,17.754,2026-02-23T07:26:09,2026-02-23T07:27:05,2026-02-23T07:39:36.912416,2026-02-23T07:43:37.730814,,2026-02-23T07:43:37.730814,2026-02-23T08:10:13.564166,,,2026-02-23 07:23:44,6.939,23.777,0.391,26.6,0.0,3.7,73,9.6,15.7,25.9,False,gps,two_wheeler,perishable,11.1,4,0,85.51,0.0,0.0,0.0,1.012,83.17,credit,completed,True,1,False,False,0,7,False,False,False,False,0.95,historical,4.0,3.0,False,,False,,0.0
7ab0d35a-f955-44ae-9f16-e234b92804a7,32780a5e-57b9-4dde-bd0c-96e8b615e365,8c84502d-58a3-411c-8ba8-8fa41cfd1663,bangalore,blr_hebbal,blr_electronic_city,13.049145,77.603368,12.844306,77.658624,23.551,2026-02-23T08:14:10,2026-02-23T08:15:08,2026-02-23T08:26:18.720720,2026-02-23T08:40:40.834553,2026-02-23T09:15:34.834553,2026-02-23T09:15:34.834553,2026-02-23T16:17:21.713977,,,2026-02-23 08:10:07,48.621,27.425,2.065,421.78,34.9,20.2,1239,5.5,6.9,8.6,False,gps,truck_14ft,appliances,150.3,0,3,1815.54,209.4,60.61,59.64,1.0,2149.63,upi,completed,True,1,True,True,0,8,False,True,False,False,0.85,historical,5.0,5.0,False,,False,,0.0
7f24abc7-285c-4794-b215-6d0510dbd363,e5668880-89c0-4169-94e8-a409302ac33a,1d09937f-5368-4690-8507-2bfc8130d5b4,bangalore,blr_koramangala,blr_marathahalli,12.941741,77.622769,12.973411,77.695259,8.609,2026-02-23T08:18:59,2026-02-23T08:19:38,2026-02-23T08:25:52.579986,2026-02-23T08:31:30.141997,2026-02-23T08:46:30.141997,2026-02-23T08:46:30.141997,2026-02-23T11:38:12.449682,,,2026-02-23 08:16:39,24.451,12.437,2.84,171.71,15.0,6.3,501,16.8,8.5,14.1,False,gps,mini_truck,boxes_mixed,61.7,0,0,640.12,60.0,12.52,0.0,1.073,755.12,credit,completed,True,1,True,True,0,8,False,True,False,False,0.975,historical,,,False,,False,,0.0
