trip_id,driver_id,customer_id,city,pickup_zone_id,dropoff_zone_id,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,requested_at,accepted_at,started_at,completed_at,cancelled_at,status,vehicle_type,declared_distance_km,actual_distance_km,declared_duration_min,fare_inr,payment_mode,surge_multiplier,driver_rating_given,customer_rating_given,is_night,day_of_week,hour_of_day,is_peak_hour,zone_demand_at_time,data_split,is_fraud,fraud_type,fraud_confidence_score,recoverable_amount_inr,customer_complaint_flag,extra_km,ring_coordination
4d7cd8cd-927b-407d-97e5-f511c7c28fbe,13104c40-5059-4aaa-9f28-6e4d4264af48,66b5d3cc-1678-46e2-9c7d-99974973e67f,bangalore,blr_rajajinagar,blr_hebbal,13.001986,77.556754,13.044561,77.590184,2026-01-24 00:15:05,2026-01-24T00:19:18,2026-01-24T00:31:47,2026-01-24T01:15:58.864542,,completed,mini_truck,6.38,6.38,44.2,390.14,upi,1.0,4.0,5.0,True,5,0,False,0.344,historical,False,,,0.0,False,0.0,False
c72ab80b-3d9b-4e4c-a58d-fd9b3c4b1f61,26eab544-ce99-40a0-a49c-0c4aa186e02c,3b106b69-05ba-496e-9c94-605f181a8287,bangalore,blr_hebbal,blr_jayanagar,13.01938,77.580918,12.930661,77.584428,2026-01-24 00:16:57,2026-01-24T00:21:30,2026-01-24T00:27:01,2026-01-24T00:50:17.934574,,completed,two_wheeler,5.57,5.57,23.28,88.84,cash,1.0,4.0,4.0,True,5,0,False,0.34,historical,False,,,0.0,False,0.0,False
4f5dc697-1ac7-4ecf-9015-f7ab9c4bccab,c518e238-65dc-453f-b0c4-c741013a9efa,097c4cf0-9f8b-4cdd-bd70-5eff5e8aa0d3,bangalore,blr_whitefield,blr_rajajinagar,12.979036,77.75102,12.998178,77.564507,2026-01-24 00:47:34,2026-01-24T00:51:07,2026-01-24T01:07:26,2026-01-24T01:26:16.389055,,completed,two_wheeler,4.26,4.26,18.84,79.73,upi,1.0,5.0,3.0,True,5,0,False,0.38,historical,False,,,0.0,False,0.0,False
3888fa1c-a11b-49d2-aa1e-9d6456dc3f13,552e77b2-e622-47da-a9ac-13868be82f0c,bffc529a-3512-412e-8c31-9d1b7da98c65,bangalore,blr_hebbal,blr_jayanagar,13.040178,77.590871,12.928715,77.571994,2026-01-24 01:22:06,2026-01-24T01:24:20,2026-01-24T01:27:44,2026-01-24T01:51:26.088640,,completed,mini_truck,3.667,3.667,23.7,334.51,upi,1.0,5.0,5.0,True,5,1,False,0.34,historical,False,,,0.0,False,0.0,False
23e2fe88-ce26-476a-a35b-430f8a2b799a,ce1d07ff-d7da-4159-a51e-f81018b0662e,d6004dda-05a2-4079-8628-eb2faada5273,bangalore,blr_whitefield,blr_whitefield,12.962098,77.754585,12.965177,77.748737,2026-01-24 01:44:42,2026-01-24T01:46:18,2026-01-24T01:58:01,2026-01-24T02:34:32.242216,,completed,two_wheeler,7.638,7.638,36.52,110.21,credit,1.0,4.0,5.0,True,5,1,False,0.38,historical,False,,,0.0,False,0.0,False
144c566c-d084-4a5f-8aa1-4f946ba09a7a,709780ee-4595-435c-a13a-0b92d16acafd,8bafde82-4b4b-4da4-8d3c-2048ae4fecb2,bangalore,blr_koramangala,blr_marathahalli,12.927438,77.623065,12.9498,77.697989,2026-01-24 02:05:45,2026-01-24T02:11:55,2026-01-24T02:22:03,2026-01-24T03:21:37.349156,,completed,mini_truck,8.105,8.105,59.57,411.61,credit,1.0,5.0,4.0,True,5,2,False,0.39,historical,False,,,0.0,False,0.0,False
e3e9e5c5-62b9-4bdb-98bd-f3aea4a7a2c9,aae80536-3bf4-45ad-9479-af3163721e44,fdf9f808-1968-4934-a2ba-6b22138d057c,bangalore,blr_btm,blr_hsr,12.914148,77.602486,12.902697,77.651527,2026-01-24 02:15:02,2026-01-24T02:22:08,2026-01-24T02:39:45,2026-01-24T03:14:51.251661,,completed,two_wheeler,7.299,7.299,35.1,112.71,upi,1.0,5.0,5.0,True,5,2,False,0.364,historical,False,,,0.0,False,0.0,False
572f13f1-c254-4375-93c4-0f1874ff0afc,85b905b4-b3ee-488b-a769-ffd33ac483f9,7397d1bc-c462-4b71-b3f8-9a59d8e4839d,bangalore,blr_rajajinagar,blr_whitefield,12.99445,77.551989,12.973256,77.756689,2026-01-24 02:26:52,2026-01-24T02:30:58,2026-01-24T02:41:47,2026-01-24T02:56:08.291273,,completed,two_wheeler,3.413,3.413,14.35,68.78,upi,1.0,,,True,5,2,False,0.344,historical,False,,,0.0,False,0.0,False
b424a115-c2c6-4b7e-855a-1c52af4d2694,19ebc319-fb3e-4b7f-8e10-35791ffee332,4a7de478-8e42-4d46-8551-94d818754574,bangalore,blr_marathahalli,blr_electronic_city,12.967966,77.708685,12.846026,77.655096,2026-01-24 02:27:44,2026-01-24T02:34:49,,,2026-01-24T02:38:11,cancelled_by_customer,two_wheeler,7.401,7.401,34.77,106.11,cash,1.0,,,True,5,2,False,0.376,historical,False,,,0.0,False,0.0,False
6aaed8cb-1a52-4201-9c54-b944e5564e3b,9d2b8f59-06f7-4b4f-80b5-5dbd73ca3845,0438a194-2ce2-421f-a2b0-8561cd05741b,bangalore,blr_hsr,blr_yeshwanthpur,12.906206,77.638756,13.018219,77.546368,2026-01-24 02:41:39,2026-01-24T02:43:35,2026-01-24T02:47:02,2026-01-24T03:22:03.673358,,completed,two_wheeler,7.711,7.711,35.03,113.46,cash,1.0,4.0,4.0,True,5,2,False,0.37,historical,False,,,0.0,False,0.0,False
359587ec-e5bd-4b71-8a5b-3e65e5aed49b,62b18d9b-8526-47c3-afc3-8bfbb89956ea,2661361b-86dc-4727-8e24-c31951a988e5,bangalore,blr_hsr,blr_indiranagar,12.906829,77.647281,12.986021,77.647741,2026-01-24 02:59:13,2026-01-24T03:03:53,2026-01-24T03:21:36,2026-01-24T05:33:13.069885,,completed,truck_14ft,16.217,16.217,131.62,1256.86,upi,1.0,,,True,5,2,False,0.37,historical,False,,,0.0,False,0.0,False
17f70fc1-799b-4507-bdd3-b85f103afba8,19a20f9a-55c5-449c-b6c7-0b4c0933f961,11fb3849-d43e-47c8-a04b-dacb96f31032,bangalore,blr_hebbal,blr_bannerghatta,13.036261,77.609678,12.898347,77.585276,2026-01-24 03:27:15,2026-01-24T03:30:59,2026-01-24T03:40:39,2026-01-24T03:59:14.975979,,completed,two_wheeler,4.114,4.114,18.6,80.11,credit,1.0,4.0,4.0,True,5,3,False,0.34,historical,False,,,0.0,False,0.0,False
f31801a6-26d6-4b50-aa45-bebdc2cf304d,54ac050e-32a7-42a7-9f31-d4d6cf686750,217ad2b2-ff49-4930-aced-5386dee8824d,bangalore,blr_hsr,blr_bannerghatta,12.924101,77.638526,12.893026,77.588849,2026-01-24 03:34:03,2026-01-24T03:38:09,2026-01-24T03:55:30,2026-01-24T04:02:10.902756,,disputed,two_wheeler,1.534,1.534,6.68,54.31,cash,1.0,5.0,5.0,True,5,3,False,0.37,historical,False,,,0.0,False,0.0,False
267d5700-4d1f-416a-b55c-b865b7267acf,434683a4-4ea9-49a5-8f73-fdafb984ad28,7cced928-0a87-4966-9078-c906a4d187d5,bangalore,blr_yeshwanthpur,blr_electronic_city,13.020938,77.548408,12.840791,77.661244,2026-01-24 04:27:53,2026-01-24T04:33:57,2026-01-24T04:47:38,2026-01-24T05:27:02.746886,,completed,three_wheeler,7.252,7.252,39.41,202.62,upi,1.0,4.0,5.0,True,5,4,False,0.36,historical,False,,,0.0,False,0.0,False
ef66e794-984c-44ff-89a3-d09e0d85d461,46cb79af-b8ad-473e-a62e-d57bf507cd49,8f612763-ca35-4dba-aba8-1df66fbdfd77,bangalore,blr_hebbal,blr_yeshwanthpur,13.031661,77.604383,13.024099,77.550805,2026-01-24 05:42:22,2026-01-24T05:48:20,,,2026-01-24T05:55:03,cancelled_by_driver,mini_truck,5.407,5.407,37.54,297.51,credit,1.03,,,False,5,5,False,0.85,historical,False,,,0.0,False,0.0,False
c869d918-8ea0-48c9-9ce6-3cd587625a4d,a194379c-9af6-4bfd-a43c-aba25a48b225,df6d7338-1363-46c8-93b3-8d854a2f5336,bangalore,blr_jayanagar,blr_whitefield,12.927832,77.584209,12.962947,77.747077,2026-01-24 06:11:32,2026-01-24T06:15:58,2026-01-24T06:29:03,2026-01-24T07:55:28.316173,,disputed,mini_truck,14.042,14.042,86.42,450.22,upi,1.007,5.0,5.0,False,5,6,False,0.9625,historical,False,,,0.0,False,0.0,False
9346d7c6-16db-4045-9282-3357facfd0ff,b3a3028b-f07f-4e91-86b2-eac5f1bc5858,95ff0c52-0484-4c93-94e2-674e7ffb4d68,bangalore,blr_bannerghatta,blr_koramangala,12.887123,77.612984,12.941815,77.632979,2026-01-24 06:41:16,2026-01-24T06:45:52,,,2026-01-24T06:52:21,cancelled_by_driver,three_wheeler,12.874,12.874,65.65,260.01,cash,1.118,,,False,5,6,False,0.9625,historical,False,,,0.0,False,0.0,False
00215730-d1cd-4fcf-bff5-59944b9d0e01,2bcde176-7fe1-4db3-973d-2c45e7dff9fc,792c9ee0-1363-4dff-bd4d-34bdbd2002e8,bangalore,blr_hsr,blr_koramangala,12.923117,77.639453,12.919134,77.61014,2026-01-24 06:42:24,2026-01-24T06:44:24,,,2026-01-24T06:50:33,cancelled_by_driver,three_wheeler,12.674,12.674,74.68,291.03,upi,1.303,,,False,5,6,False,1.0175,historical,False,,,0.0,False,0.0,False
d228add8-4d63-4e64-9859-e4afa0ba1f83,6b7f3525-ed65-42d0-9b39-e8db72540797,1b6fc4cb-b67a-4913-9439-cd02ceef9523,bangalore,blr_marathahalli,blr_bannerghatta,12.953994,77.700155,12.875704,77.584289,2026-01-24 07:24:10,2026-01-24T07:26:55,2026-01-24T07:35:46,2026-01-24T09:58:34.542999,,completed,mini_truck,18.937,18.937,142.81,646.94,cash,1.193,4.0,5.0,False,5,7,False,0.94,historical,False,,,0.0,False,0.0,False
bfaf8033-ed8e-46f6-b9d5-b49c241a5f4f,85ed40de-c0ac-478f-9d52-3a3bf45d5e60,2903d87f-cc59-4a2d-9988-4cd4d27ed790,bangalore,blr_koramangala,blr_btm,12.943537,77.617841,12.920682,77.608908,2026-01-24 07:27:51,2026-01-24T07:33:42,2026-01-24T07:37:28,2026-01-24T09:21:57.757045,,completed,truck_14ft,11.996,11.996,104.5,912.81,upi,1.0,5.0,4.0,False,5,7,False,0.975,historical,False,,,0.0,False,0.0,False
b6c6593d-1106-42bd-b0b1-5b4d25d65040,175d948f-5086-4476-af90-4bd70ae65680,5f53de48-7684-4653-8a46-6a289afbf463,bangalore,blr_hsr,blr_koramangala,12.912778,77.646974,12.936697,77.621763,2026-01-24 08:02:45,2026-01-24T08:04:17,2026-01-24T08:19:19,2026-01-24T09:06:31.133879,,completed,mini_truck,6.745,6.745,47.2,402.42,credit,1.193,3.0,5.0,False,5,8,True,1.0175,historical,False,,,0.0,False,0.0,False
0d72346b-1e73-45ff-a408-ada27f7d4fb3,cbc17461-837e-4a40-b3b2-d4066b7d4680,322ae17b-b1e9-4a0b-bf09-5fe39e7be16e,bangalore,blr_btm,blr_hsr,12.915671,77.612344,12.917432,77.640397,2026-01-24 08:03:19,2026-01-24T08:13:23,2026-01-24T08:18:30,2026-01-24T09:12:44.160910,,completed,three_wheeler,9.599,9.599,54.24,225.36,cash,1.215,5.0,5.0,False,5,8,True,1.001,historical,False,,,0.0,False,0.0,False
fe7a5537-df39-4804-a79e-ab3700575a0e,44dff724-bf56-4e72-a063-aef68d88d617,d1060a91-83eb-4ffa-9615-bb60413ffded,bangalore,blr_yeshwanthpur,blr_btm,13.000856,77.563369,12.915669,77.608351,2026-01-24 08:05:52,2026-01-24T08:14:28,2026-01-24T08:33:31,2026-01-24T10:39:55.097126,,completed,truck_14ft,14.984,14.984,126.4,929.12,cash,1.0,5.0,5.0,False,5,8,True,0.3,historical,False,,,0.0,False,0.0,False
30fca9f0-59fa-4dac-89e5-c46b521eb2f2,0ddc8f39-209e-4abf-92ae-4e75de1e178f,bc747a07-faa6-4cd8-955f-a4866b479aa4,bangalore,blr_koramangala,blr_btm,12.939105,77.622492,12.91839,77.619195,2026-01-24 08:06:45,2026-01-24T08:10:55,,,2026-01-24T08:25:20,cancelled_by_driver,two_wheeler,1.819,1.819,9.69,46.92,upi,1.063,,,False,5,8,True,0.975,historical,False,,,0.0,False,0.0,False
22807dae-6f57-432f-8cfe-cebca95500d4,e0d9113f-c5d8-479a-bb60-a89b789ea42c,a81f7e0c-5ded-4a68-9252-a5da359f1bcb,bangalore,blr_koramangala,blr_jayanagar,12.934036,77.624991,12.928875,77.58753,2026-01-24 08:08:21,2026-01-24T08:18:18,2026-01-24T08:20:52,2026-01-24T09:11:28.344284,,completed,three_wheeler,7.134,7.134,50.61,184.35,upi,1.169,5.0,5.0,False,5,8,True,0.975,historical,False,,,0.0,False,0.0,False
1227c551-880c-4720-92dc-4d47b51df963,fe69bfa1-768a-4b16-a05d-4b486258c712,fd75f7b4-24de-4837-8d31-bc682d06df86,bangalore,blr_whitefield,blr_koramangala,12.985586,77.748648,12.93228,77.629824,2026-01-24 08:12:07,2026-01-24T08:18:51,2026-01-24T08:21:50,2026-01-24T08:31:37.523696,,completed,two_wheeler,2.021,2.021,9.79,46.59,upi,1.0,5.0,4.0,False,5,8,True,0.95,historical,False,,,0.0,False,0.0,False
e18cb584-2e11-4fd2-9d07-e0b7ddaccb6d,a17d0bde-d284-4e1f-9f31-15b167b127b4,f055e103-1333-4f10-9159-68b76d8673ed,bangalore,blr_hebbal,blr_whitefield,13.039779,77.594047,12.95133,77.731008,2026-01-24 08:17:27,2026-01-24T08:18:42,2026-01-24T08:21:09,2026-01-24T09:07:11.799743,,completed,two_wheeler,9.886,9.886,46.05,115.26,upi,1.035,5.0,5.0,False,5,8,True,0.85,historical,False,,,0.0,False,0.0,False
42f10e91-d111-446f-871b-31e234f5877a,3c139f87-ec94-47f7-a00e-6d43f6fb9713,6007d1b2-91bd-4e4e-a0da-ba85f3b30fd4,bangalore,blr_rajajinagar,blr_jayanagar,12.991094,77.547047,12.92123,77.584043,2026-01-24 08:22:19,2026-01-24T08:30:37,2026-01-24T08:40:19,2026-01-24T09:32:40.582912,,completed,two_wheeler,12.19,12.19,52.36,135.16,upi,1.067,5.0,5.0,False,5,8,True,0.946,historical,False,,,0.0,False,0.0,False
f7ab14f7-d0ca-4581-aeaa-aef0a786fa37,4137e0f3-5896-4b9c-b0d3-e35a19e440bf,c74d3ab3-db8a-459f-8da7-e4ce3f997c4a,bangalore,blr_hsr,blr_bannerghatta,12.918075,77.623821,12.894633,77.59645,2026-01-24 08:25:00,2026-01-24T08:27:08,2026-01-24T08:33:22,2026-01-24T09:02:56.637374,,completed,two_wheeler,6.29,6.29,29.58,92.18,upi,1.127,5.0,5.0,False,5,8,True,1.0175,historical,False,,,0.0,False,0.0,False
6132d5e8-5f42-481a-a499-24a9a151a2a1,a5887a10-afbf-4235-8150-b610f604acf3,f86573b0-85ab-4185-a39b-09a2408a8778,bangalore,blr_yeshwanthpur,blr_btm,13.038264,77.547918,12.928446,77.61408,2026-01-24 08:27:31,2026-01-24T08:36:57,2026-01-24T08:43:27,2026-01-24T08:57:25.467305,,completed,two_wheeler,2.877,2.877,13.97,52.44,upi,1.0,4.0,5.0,False,5,8,True,0.3,historical,False,,,0.0,False,0.0,False
a6987b81-5624-4e2b-8a0c-06e4ccdb971b,379b2f37-94b1-4462-b83c-206538028e67,4b749c5b-cb37-4698-9e7e-5121b5cc2942,bangalore,blr_btm,blr_indiranagar,12.903075,77.615857,12.97323,77.64281,2026-01-24 08:32:26,2026-01-24T08:43:36,2026-01-24T08:58:17,2026-01-24T09:58:13.754347,,completed,two_wheeler,12.577,12.577,59.95,140.61,upi,1.088,,,False,5,8,True,1.001,historical,False,,,0.0,False,0.0,False
5430147c-7d2e-4169-8209-562737bfadfc,066cf74b-fb50-4028-ab32-e3c3aada5471,c0cafbd7-ecc7-44ae-a1d0-ea166b71699b,bangalore,blr_hebbal,blr_indiranagar,13.019851,77.60226,12.967078,77.647462,2026-01-24 08:41:26,2026-01-24T08:43:50,2026-01-24T08:59:16,2026-01-24T09:42:30.170000,,completed,two_wheeler,9.478,9.478,43.24,121.95,upi,1.12,,,False,5,8,True,0.85,historical,False,,,0.0,False,0.0,False
